,Emotion,Sentence
963,Disgust,nói thì hay lắm 🙂 cuộc sống đâu phải được như mong muốn
1589,Disgust,hẳn là không biết nhắn gì :)). thế thôi dẹp mẹ đi
664,Disgust,"t cu ̃ người cu ̀ người nghê ̀. theo kinh nghiê ̣ mày thi ̀ thâ ́ y top như ̃ người kha ́ ch ơ ̉ vô y ́ thư ́ c nhâ ́ tao la ̀ trung quô ́ c , â ́ n đô ̣ va ̀ đương nhiên co ́ ca ̉ viê ̣ tao nam - _ - biê ́ tao co ́ người na ̀ y người kia nhưng khi đi ̉ ti ̀ nh tra ̣ người diê ̃ n ra qua ́ nhiê ̀ u thi ̀ người ta se ̃ đa ́ nh gia ́ ca ̉ 1 nê ̀ n văn ho ́ anh ."
1021,Enjoyment,per tập gym đi mày có người yêu đấyyyy =)))))
247,Other,là gì nhỉ ???
1598,Sadness,"giờ bà già lắm rồi , nhổ sợ hết tóc , nghĩ tao lại thấy buồn quá 😞😞"
366,Fear,chuyện buồn quá chúng mày à . tao không dám đọc sợ làm quyết tâm có người yêu của tao lung lay 🙄
634,Anger,ngu thì chết ...
94,Anger,không phải bồ tao chớ bồ tao thì sống chết tao cũng cho mỗi th mỗi nhát
1677,Surprise,chị là người khó hiểu nhất mà em từng biết đấy
904,Sadness,lúc đấy là mình mình cũng lắng liền rồi chắc trào nước mắt mất
637,Other,"per chế sợ nó hơn sợ chó , nhớ hồi nhỏ đang đánh răng nó rượt mà cầm ca , bàn chảy , miệng thì đầy kem vừa chạy vừa khóc như con chó"
959,Other,kiểu cá tính nét đẹp mang nàn gió mới . chứ không phải nét đẹp công nghiệp đại trà .!
442,Other,khi bạn đặt quá nhiều niềm tin vào người khác
1196,Sadness,ngày trước nấu cơm . đun rơm . đốt được hơn 10p mới nhớ ra chưa cho nước . hỏng cả nổi cơm huhu
1473,Enjoyment,tạm biệt ông cám ơn tất cả những gì ông đã làm cho vn
1336,Disgust,và chúng nó cũng ngáo hơn lũ con trai :)
1646,Surprise,em cũng thắc mắc tại răng khúc xương tư tao nhỉ ? xong nó lại tự to lên được nó nhờ lực gì rứa
1159,Disgust,"ngu bỏ mẹ ... làm giàu cho bọn bán vàng thì có , trước mắt thần tài đến các tiệm vàng , còn mấy thằng mua , thần tài chưa thấy đâu vì vài ngày sau vàng sẽ tụt giá chắc chắn sẽ lỗ mẹ nó rồi ..( lỗ 3 cái : giá tụt , giá mua vào và tiền công nếu là vàng thời trang ) - còn cái kiểu chơi bời không lo làm ăn , chỉ có làm biếng mà hàng tháng cứ cầm 3 cây nhang khấn vái thần tài mong tài lộc tới thì có cái lol ý .."
495,Anger,per bố mày nhắn tin rồi cái con cặc gì mày cũng cho thằng em mày xem
814,Disgust,"có vẻ coi lòng tự trọng , nhân cách , và tinh thần của người ta rẻ mạt ... ngồi tù 7 năm đáp lại 1 lời xin lỗi và 200tr ...😩😩😩"
856,Enjoyment,dễ thương mà
1923,Enjoyment,"nhổ tóc sâu cho bố , hình như được 500đ để mua kẹo dồi 😂"
858,Disgust,mấy đứa con gái chơi với nhiều đứa con trai nghĩ là bình thường nhưng mấy đứa con trai lại nghĩ con đó lẳng lơ
118,Enjoyment,"ng nhật giỏi ở chỗ đó ., đây không phải là sự phiền hà mà là một cơ hội ."
353,Other,"ngu thế chờ cho mật ong ngấm xuống đất , rồi đào đất đấy lên chắt kiểu gì cũng được gần đầy :))"
967,Disgust,bớt ngu để sống tốt hơn
1822,Enjoyment,đang tập hát 😶😶 hay thật 😔😔
457,Sadness,dù cậu làm tôi tổn thương mỗi ngày nhưng chả hiểu sao vẫn thương cậu
897,Other,rồi có đi họp lớp không ?
934,Sadness,vì yêu người khác nên biết là ngu nhưng vẫn làm :(
952,Other,"bị đánh 1 lần thì hơi sốc , nhưng nhiều lần thì tâm hồn sẽ trở nên mạnh mẽ , cảm xúc nó mới đàn hồi"
1388,Sadness,per tiếc cái gì đấy bố nó
711,Sadness,sao bao nhiêu năm kể từ ngày đó em đã không còn nghe lại nữa :((
499,Other,"nhà em trong ngõ bác ơi , bác cho ô tô vào vừa thì em cho bác đỗ luôn"
236,Disgust,thả chó rông không rọ mõm cắn người là tội ác
1367,Enjoyment,con bé xinh thế ??
807,Sadness,trước khi lấy vợ boss có một thân hình hoàn mĩ thế này đây
1728,Enjoyment,đọc cái mà cười rớt cả hàm .... cuộc đọ sức giữa xe lửa và ô tô
853,Enjoyment,cần tìm gấp bạn trai đáng yêuc như anh này trời đất ơi =))
1439,Sadness,khi nào tao thấy thích . mà thích rồi chưa có người thích cùng .
269,Fear,thề dume c còn hết hồn nói chi đến khách =)))) sáng sớm ra mở cửa với tối đóng cửa thôi độ gan dạ cũng phải tăng lên mấy chân kính =))))
48,Disgust,địt mẹ xấu mặt đàn ông quá . đéo hiểu mấy thằng lol này nghĩ nó ngầu chỗ đéo nào nhỉ . bệnh hoạn vãi
1131,Sadness,"chán thật , dạo này hồi xuân hay sao đọc mấy cái kiểu này ấm lòng vãi :("
1580,Sadness,thế là hết những gì đẹp nhất của nước pháp sao không phun nước cứ để cháy rần rật nhỉ
1871,Surprise,chủ thớt sao xinh gái thế =))
439,Disgust,loạn hết rồi
201,Enjoyment,"may công an đến bắt chứ không thì dân chỗ đó cho vào nồi cả rồi , đã có người cắt cử nhau đi mua giềng mẻ rồi đó chứ 😆"
152,Disgust,chết rồi thì chôn . xử lý cái quái gì nữa ...
72,Other,thế là đúng quy trình rồi
686,Disgust,rảnh rỗi không có việc gì làm sinh ra mất tiền
882,Disgust,nếu đồng nghiệp của bạn hãm vãi thì cũng nên đăng xuất đi
1330,Enjoyment,ốm mà xinh thế :3
519,Other,đợi chờ là hạnh phúc mong rằng hai nhà lãnh đạo trong lần gặp nhau sau sẽ tiến triển hơn nữa
1443,Disgust,"thứ con gái hư đốn , mày không sợ xã hội dị nghị à"
495,Sadness,ăn vải nóng lở hết miệng ra đây này
512,Enjoyment,trồi ôi mới đọc tưởng đâu người yêu
1404,Enjoyment,per bị chì chiết từ 6h sang đến 23h phia . vẫn sống vui 😊😉
788,Anger,ai đó chọc mù mắt tao đi ... mất mẹ tuổi thơ
1411,Sadness,khổ nhất người có bầu
1916,Enjoyment,trai tài gái sắc .. danh ngôn rồi tài sản chứ tài gì !! 🤣🤣
961,Sadness,per nhớ bột mì chiên huhuhu
276,Other,cho bạn trai uống nước này nhé 😌
1528,Anger,"cô giáo như cái lìn , mà dume đánh con cháu tao ntnay thù từ thằng đánh lẫn đẻ ra đứa đánh bố cũng đập cmm chúng mày hết"
728,Other,per 🤣🤣🤣 để anh vẽ mình xem thế nào nhé
996,Other,per học hành cho cố vào rồi mần sao như này đi
1336,Enjoyment,bộ phim hay nhất từng xem
1382,Disgust,rút kinh nghiệm lần sau cứ khách nào kêu tính tiền thì mình checkin phòng liền nếu tình trạng như vậy thì cho nó dọn phòng khi nào sạch thì cho nó về 😀
1085,Disgust,bất kì hoa gì có mùi đều không thích
1307,Enjoyment,nhìn một cái rồi quay đi là thấy mãn nguyện rồi .
619,Enjoyment,tuổi thơ của tôi cũng từng có 1 người c . trai bỏ mặc tất cả để bảo vệ tôi 😘😘😘😘
1020,Enjoyment,"năm nào cũng đi cho có không khí xuân vậy , không đi thì thấy thiếu thiếu . nhà tao cách chợ 10km"
1470,Other,"mặc kệ người ta bạn ơi , có tiền mua xe đi thì kệ mẹ thiên hạ"
1242,Enjoyment,bé gái đáng yêu quá ??
233,Disgust,"nhìn là biết sapa rồi , thế cũng đố"
1699,Enjoyment,ước là 1 ngày mai thức dậy dụi mắt mãi chưa hết tuổi thanh xuân =))))
1811,Surprise,nhằm ngày sinh nhật luôn trời ..😂
918,Sadness,"làm pv quán karaoke đi rồi khổ hơn nữa , toilet danh cho nam chỉ đứng tè , vậy mà nỡ lòng nào mấy anh ngồi ỉa 😢 thiệt chứ gặp cái mún khóc lun …"
1734,Enjoyment,tao đang chờ xem bà ấy được nghe nhạc ý mà hết video 🤣
1725,Enjoyment,xem video nay sao mà sướng hết thằng người
212,Disgust,bọn bây giống tao không ? chứ ghét mấy đứa troll rớt điện thoại vãi
1480,Sadness,"khoảnh khắc anh quay mặt đi , con tim em tan nát vãi ra"
472,Anger,nó lại làm tao nhớ tới cái mấy con chó ăn hạt dưa ở quán cf đụ đỉ mẹ ăn thì có cái bịch bên cạnh đó cắn bỏ vào bịch thì chết à d . mày cắn xong cứ phun phun xuống đất đã vậy mỗi lần phun là mỗi chỗ khác nhau làm dọn bắt lòi dái nhìn nó phun chỉ muốn đấm cho nó một cái
1069,Enjoyment,tất cả đã đều quá hoàn hảo rồi . trừ pha nhảy cuối thôiiii :v
170,Other,per con nghĩ cậu nên thử
1874,Disgust,"ai bảo mèo đực hay đi khỏi nhà chứ quàng thượng nhà tao toàn ngủ , ngủ cả ngày cả đêm , đang ngủ mắc tè xong dậy đi tè rồi vào ngủ tiếp , ngủ hơn heo :vậy"
659,Sadness,buồn cô lắm
1240,Sadness,nó ốm nhom thương ghê :(
1533,Enjoyment,"làm bác sĩ sướng thật , bảo cở là cởi , bảo cưới là cưới . lắc đầu cái là cả nhà khóc ."
100,Anger,như kiểu sắp bị hiếp dâm đến nơi vậy . tế sống luôn mấy thg lol 🙂 dcm
932,Enjoyment,giọng chú hơi bị dễ thương nhá :))
1198,Disgust,ngửa thấy mùi là đã thấy kinh rồi
1737,Anger,ngu cho chết chứ nói con cặc gì
584,Enjoyment,vâng chú ah haha
1555,Enjoyment,cặp nay dth ghê luôn 😍
1586,Sadness,cảm động quá hjxhjx
373,Disgust,mày làm anh tao hơi lâu rồi đấy
455,Other,tao không phân biệt được bà nội bà ngoại ??
1340,Disgust,ích kỉ quá đấy . vỉa vẻ thế kia ra vào vẫn bình thường nhé
28,Disgust,suy thoái gớm nhỉ :))
1359,Sadness,cuộc sống mà mấy ai được trọn vẹn 😢😢
299,Disgust,"ngta tạo nên video để giáo dục mấy ba ơi , mấy ba mấy má làm quá"
829,Disgust,biết ngay sẽ chơi cái trò mất dạy này nhưng vẫn kiên trì xem tới cùng để thách thức bản thân có sợ hay không :))
1906,Surprise,cha con y chang nhau 😂 1 khuôn đúc ra
247,Anger,giết nó ! làm ám ảnh cả cuộc đời học sinh .
773,Sadness,"tụi mày có hiểu được cảm giác , muốn bắt chuyện mà không dám bắt không ?? tụi mày có hiểu được cảm giác vờ ngủ gục để nhìn nó không ?? tụi mày đã từng nhìn nó thật kỉ , thật tỉ mỉ chưa ?"
1245,Anger,chưa đâu ... nó mang bánh gato vào xong bôi đầy tường mới là cả một rổ của sự hloz
1633,Enjoyment,ngưỡng mộ quá đi ạ . chúc 2 ac mãi mãi hạnh phúc như này nha :)))
659,Disgust,ăn 1 đống tiền phạt có 5tr . tội lợi dụng tín ngưỡng để lừa đảo xem chừng nhẹ tội nhỉ .
494,Enjoyment,per đúng chất em lun hâha
1511,Enjoyment,năm nào chả vậy :)))
135,Other,thua sự mặt dày của khách nên cho một xíu . :v
1117,Sadness,chuẩn đét . t nghỉ công ty cũ cũng vì đồng nghiệp 😭😭😭
258,Enjoyment,"là thằng đàn ông phải có bản lĩnh từ khi còn bé , thay vì hay bắt nạt , quát tháo đàn bà thì hãy là người che chở , yêu thương !!!! mong con zai của mẹ sau này cũng như mấy anh này .!!!"
467,Anger,cho ngay cốc bia vào mặt . nhố nhăng
14,Other,sau quả sấm sáng cả trời thì gần như toàn khu phố mất điện
1039,Other,bà này bị âm đồ từ đêm qua đây mà ...
764,Other,chỉ đi đường quen thôi ! đường nào lạ chỉ ngồi sau thôi =))
377,Anger,"tát cho phát , đêm hôm mất con mẹ nó ngủ . ??"
665,Sadness,xem xong tôi cảm thấy còn u ám hơn :))
1955,Disgust,đó là khi bạn làm cho hãng hoặc công tình yêu lớn tầm cở .... chứ quảng lý mấy shop quần áo có cái lol mà được 30tr :))
1080,Disgust,gớm vãi :)))
408,Sadness,đi bao xa mới thoát đựoc kiếp không có người yêu ? :<
385,Enjoyment,con lai xinh phết ??????
442,Disgust,đây đây thiệt là hãm
1296,Sadness,đm lừa đảo hằng năm cả trăm tỉ . giờ phạt có 5 triệu :))) chán vãi
1322,Enjoyment,ở đâu cho tao làm vớiiiiii
1501,Sadness,"biết chỉ là phim thôi , xem con bé hôn bố lần cuối nước mắt tự rơi , híc híc"
1156,Sadness,chưa bao giờ b đến đích là gì cả
717,Anger,lũ này cho nghỉ việc thay người khác còn bao nhiêu người đi xin việc kìa xử phạt rhì trẻ cũng đã ăn rồi lũ mất nhân tính
830,Other,hmmmmmmm não tao xoắn mẹ rồi
1685,Disgust,"chẳng bao giờ nhà bếp nó nấu đồ ngon cả , toàn thiu thối hoặc kém chất lượng nó mua về làm mới có lãi . trước làm với nhật nó còn bắt làm cho nó như cho công nhân ăn thì thời gian đầu được , đến khi đổi giám đốc là đéo nuốt nổi nữa"
25,Enjoyment,khuôn mặt đậm chất giải trí 🙂
276,Fear,moá nhìn rùng hết cả mình
947,Sadness,em tìm link phim mà sao nó ra phim khác chứ không phải phim này zay mọi người 😞
961,Disgust,5tr phạt làm cái lồng gì . phạt 500tr tội sỉ nhục lăng mạ người khác
516,Other,bà ta đâu cư xử như 1 người vợ đâu !
1131,Enjoyment,per =))))) hahaaaa
12,Fear,má ơi đây chính là thứ ám ảnh nhất cuộc đời con . kẻ thù 😢😢😢
1316,Disgust,"đúng rồi , ngưng ảo tưởng"
1564,Enjoyment,"chời , dễ thương quá"
344,Fear,tuổi thơ tôi bị ám ảnh mấy con ngỗng này . mấy con màu xám cứ mỗi lần đi học ngang qua ngõ nhà hàng xóm là nó đuổi . tao lại chạy thục mạng . cứ phải đắn đo mỗi lần qua đó xem có chúng nó không rồi ù chạy như ma đuổi . haizz tuổi thơ tôi ....
247,Enjoyment,anh em để tao hưởng trước nào
1931,Enjoyment,bán hàng online hồi năm cấp 3 :))) tháng hè ấy đi quanh hạnh phúc để giao hàng với bố . được lãi 4 tr :))))
1882,Disgust,ý thức kém quá ☹☹
1698,Disgust,"bọn phục vụ nhà bếp toàn là chó , chó mới ăn thịt thúi bẩn như vậy ."
820,Disgust,đấy . người ta làm những video ý nghĩa . chứ không phải ba cái video xàm nhảm như cái đéo gì cũng cái kết . xàm .
810,Other,thần tài cho chủ cửa hàng bán vàng chứ thần tài gì mình đâu
1769,Enjoyment,"hiện tại mình cần tìm người yêu , bạn nữ nào chưa có chồng hay chưa người yêu thì bình luận bên dưới để mình lựa một bạn may mắn nhất nhé :)))"
371,Other,lỡ bị tào tháo rượt mà cái wc bên kia thì nhảy thế nào nhỉ
1264,Anger,"ra chỗ sóng không táp vào mà ghi , xem mà ức chế vãi :))"
1390,Enjoyment,chòi má nói chuyện tình vãi =))))
1236,Sadness,con gái hay ảo tưởng như vậy lắm 😌
792,Disgust,nó cười mắc ỉa môi thì zoe lại lùn xấu vãi lại còn gầy nữa chứ haizz
642,Sadness,không phải không thích mà bản thân chưa đủ tốt để sánh vai . phải chi anh có thể đợi em khôn lớn !
995,Other,ông tóc ngắn ngắn cam cam tên gì vậy ạ ?
1849,Anger,tiên sư bố nhà mày . tao chịu hết nổi rồi nhé 🤤
405,Anger,đm ngu . cái nồi cơm điện chứ gì .
554,Other,sai rồi nhá . có những thứ cha mẹ không có nhưng vì con họ vẫn cố gắng để có được nó
294,Fear,hú hồn con chồn chạy ngang 😑
1868,Surprise,khi bạn bỗng nhiên nhận ra rằng có những bài hát phù hợp với từng khoảnh khắc riêng bên người đó :)
249,Fear,mỗi lần về quê mà sắp sửa đi qua chuồng ngỗng tao phải cầm cây chổi lông gà mới đi được đấy dume . quơ quơ vòng vòng cho mấy đĩ ngỗng né xa ra rồi chạy thụt lol luôn :=]]]]
13,Fear,tao ghét và tao sợ nó
506,Anger,bán thì bán đi còn bảo bố mày bất hạnh . đéo thèm mua nữa 😑
1431,Enjoyment,lâu lắm rồi mới nge lại bài này ... vẫn thấy hay như ngày nào ...
1898,Enjoyment,chị ấy được đào tạo qua lớp người nhện bắn tơ nên không biết sợ 😂😂😂
764,Disgust,1 từ ( nhạt )🙂
782,Disgust,"có mồm để làm gì ? hay chỉ để cãi nhau , la hét ?"
1453,Enjoyment,hồi đó khoái cái này lắm
700,Disgust,giọng anh khi mặc bộ záy màu hường thật kinh dị
1867,Anger,mày tin tao nhai đầu mày không
165,Enjoyment,"yeahh , được mở lại fan cứng rồi =)))"
334,Disgust,"per mất mặt thật sự , quán bún đậu đó không biết có dán mặt mày lên không"
552,Enjoyment,có đứa nào xem mà thèm đi biển như tao không ?
1595,Enjoyment,tài năng cho làng đua xe đạp tương lai là đây chứ đâu ✌✌
818,Enjoyment,"các bạn xem phim cậu bé đặc biệt , luôn nhé . phim có diển viên này tham gia nói về cách giáo dục con cái cực hay . chúc các bạn xem phim vui vẻ"
1903,Enjoyment,"per đọc vài dòng là lướt xuống cuối để xem có phải "" hi vọng câu chuyện mình vừa bịa ra ...."" nhưng không phải . kkk"
155,Enjoyment,đây là câu khuyến mại điểm :)
932,Sadness,nghe lại bài này thấy chột dạ vãi
191,Enjoyment,"nói chung thánh này không ai ghét được , trừ hlv kkk , dễ thương gắp trăm thằng pogba ,,, mong cho thằng đó nhanh biến khỏi mu"
1277,Sadness,đi chơi xong về cũng buồn như chó cắn tiếp thôi
212,Fear,haha mắc cười quá ... nhưng thật chúng mày là tao rất sợ rắn ...
492,Enjoyment,dễ thương kinh khủng . bởi vậy mới nói mấy đứa yêu nhau là lầy nhất
1954,Surprise,tây cũng lầy phết
373,Enjoyment,thanh niên leo lên cao để theo dõi thời tiết để thông báo cho người dân đi cấy thật cảm động
673,Other,bao năm giải phóng như thế này phải không anh
951,Enjoyment,vẫn nhớ ngày đầu . lần đầu em có cảm giác được che chở như vậy :)))
804,Disgust,"cưỡng hôn thì phạt 200 . lừa đảo , chiếm đoạt phạt nhằng 5 cu ( củ )."
136,Fear,bà mẹ nó @@ xem rùng con mẹ nó mình hơn cả phim ma .
564,Sadness,"mình nhận thấy hình như ông ấy đang rất đau khổ , mà không thể or không muốn nói ra ."
17,Fear,coi ảnh này nổi cả gai ốc
59,Enjoyment,tao cười ỉa cho cái bọn ấy :)))
842,Disgust,"đúng rồi đấy , như thế là đang mắc chứng ảo tưởng sức mạnh"
220,Other,sừng mọc hồi nào không hay
694,Other,câu này thấy sai sai
922,Other,não bằng đá . không cần phải đội nón
966,Disgust,các bạn đéo biết được đâu vì các bạn đbh gặp thì lsao các bạn biết được mấy con mụ già đi mất dạy như thế nào . đm cậy mình già là muốn đi thế đéo nào cũng được ý . đi sai xong chửi người ta mới vãi chứ dume có ngày đâm vào người ta chết có ngày ở đấy mà già mồm . cứ kêu người ta lớn tuổi hơn phải thế này tno nhưng có lớn mà đéo có học thì cũng đéo là cái gì
1802,Disgust,"cái thứ 2 mình thấy lạ lòn , bạn gái người ta ăn , quên chỉnh tóc . người ta chỉnh lại tóc dùm bạn gái mắc gì 2 đứa nó thái độ 😑😑"
1189,Disgust,"không chỉ bướng , mà còn rất lười :("
1866,Enjoyment,"nói gì , em trai tao cắt tóc xong là tao đè nó ra chụp hình . cảm thấy nó cắt tóc xong là đứa nào chứ không phải em tao =)))))"
392,Enjoyment,đáng yêu vãi =)))))
1450,Disgust,xạo xạo ... thằng cải suốt ngày bị nó dụ
1127,Disgust,khi mày dốt ngữ văn nhưng vẫn thích nói những câu đạo con mẹ nó lý
1257,Disgust,"học luật chưa mà nhắc sai về lí ? :3 , có cái nhà đấy là đường của nhà ông à :))"
363,Other,kể mà nó biết cử độg vẫy vẫy nữa thì tuyệt con mẹ nó vời ??????
1806,Surprise,nhện to đến nổi chúng mày giật cả mình à :)
162,Disgust,cho dân nhậu đi lùa 1 hôm thì đến con tép còn đéo còn nữa là hùm đất :))
1206,Anger,đù . bọn nuôi chó mà ve còn không bắt được cho nó thì đừng nên nuôi . bực
1157,Enjoyment,bản thân quá hạnh phúc khi trong cs này rất . rất nhiều người mơ ước được như mình hiện tại . 😊😊😊
1693,Anger,gà này cho chó ăn mà . bọn mất dậy vì tiền nó giết chết dần chết mòn con nhà nghèo . địt bố bọn mắt dậy
281,Other,per cái mặt nhỏ đó gióng em :)) khi nghe tiếng súng
877,Enjoyment,bài viết đọc rất sướng .
1515,Anger,dume dăm ba cái đứa lông còn chưa mọc đủ bày đặt thể hiện con cặc gì không biết . thêm bà cô giáo óc chó + lão chủ sân nữa
1630,Surprise,"ngày xưa tự dưng mình được tận 8 , 75 ư =))))"
953,Sadness,gãy tay
1601,Enjoyment,đợi nốt ván đã =))))))))
1593,Sadness,"nhớ quá , độ chục năm không đi soi ve rồi :(((("
809,Enjoyment,t đã soi gương suốt ngày chỉ để gặp crush và ngắm nụ cười tỏa nắng của nó
723,Enjoyment,per hồi đó mua điểm đại học nè 😂😂😂
1212,Anger,dume mất dạy
1918,Enjoyment,nào chàng trai có nhiều tài hãy cho em gục ngã đi nào =))
1091,Disgust,nó chỉ là phép lịch sự . ngưng ảo tưởng nha nha
630,Anger,đm chạy ra xa mà viết đi 😈
1715,Disgust,"thằng tàu hoả lái dở , thấy xe đậu thì đánh lái né ra đường ray thi đâu có va chạm hư ô tô"
130,Enjoyment,người ta thôi chứ vợ mình là số 1 . mình chưa bao giờ chê . 😍😍😍
47,Enjoyment,"mê chơi lọt cóng nè , nhìn vẻ mặt hp của nó mình cũng thấy vui theo"
1476,Enjoyment,"và cứ mỗi lần mày muốn thấy crush cười , mày lại chạy lại cái gương"
1322,Disgust,kinh dị vãi
1251,Anger,mẹ cái lũ thầu nấu ăn cho trẻ con . ai cũng bảo chúng mày nấu 1 năm có có hàng tỉ tiền . mẫu giáo còn hại được thì cấp 1 tha gì .
681,Enjoyment,per sau này con bư lớn cũng vậy đó mẹ hahaa
1015,Enjoyment,phim hay vãi ra . đến giờ vẫn thấy mình giống bạn ma nữ quá trời 😂😂😂
1001,Enjoyment,per nuôi đi anh còn kịp chả già mất 😂
1896,Enjoyment,per thông minh là đây chớ đâu
168,Fear,t đã cố tình che mặt nhưng vẫn giật mình
317,Fear,sư tử chứ dễ thương q . q gì
1361,Disgust,"mưa sấp mặt , về đi"
1783,Disgust,nhìn biến thái kinh khủng .
769,Enjoyment,tầm tuổi này . họ không còn những áp lực cuộc sống nữa . mà chỉ còn thứ tình cảm gắn bó với họ từ những ngày khó khăn nhất . ngưỡng mộ và ước được chút phúc đức của ông bà
959,Disgust,sếp như nào nữa còn sếp tôi thì như lònnnnnnn
1813,Anger,per tao nói rồi nha địt con mẹ mày
848,Other,bình tĩnh vô cùng
1736,Enjoyment,haha . dễ thương gê 😊😘😘
930,Other,thiết bị này mua như nào nhỉ
591,Sadness,cậu bạn mẫu giáo năm ấy chép bài cho tao để tao khỏi bị thẻ tay giờ đang nơi đâu ???
571,Sadness,thật là một câu chuyện buồn 😌
472,Sadness,ng dân biết phải làm sao bệnh chồng bệnh
213,Fear,em đừng đi tập gym em nhé . bth em đã mê trai lắm rồi . em mà đi tập nữa chị không biết em như thế nào luôn 😢 per
128,Fear,nếu là tao thì nhảy cẩng lên chuẩn mẹ rồi :)) má nhìn trong hình tưởng ma thật ở ngoài đéo biết như lào luôn ớ
902,Disgust,"con yêu nghiệt , tỏ cái vẻ đáng thương còn ăn vạ =)))"
418,Other,cuộc tình ngang trái của nhà tớ đây ??
1328,Sadness,"thấy bình sữa của em thấy ham quá , chị sinh em bé chả có sữa gì hết ."
200,Enjoyment,"úi sời , gần chỗ mình này"
1139,Enjoyment,vừa sếp vừa đồng nghiệp tốt thì đi làm như là đi chơi 💃 bonus 6h chưa hẳn đã muốn về
1282,Enjoyment,"tao toàn thế giận tao tao dỗi lại , lại phải dỗ tao . hahahaha"
119,Enjoyment,per vui quá .. đi dạo được ven hồ rồi 🙂
1223,Enjoyment,per cảm ơn tôi đi . thấy tầm quan trọng của máy chém gió chưa
414,Other,cấm đỗ là việc của công an
430,Anger,"tao ước gì gặp được cái thằng chế ra con xe lead , tao sẽ tán cho nó sấp mặt luôn . 😒 còn video này tao hóng mãi lúc nó so ... mà đéo thấy haha"
1907,Enjoyment,nghe nguồn tao biết được độ chân thực của câu chuyện rồi 😂😂😂
1706,Disgust,"mấy thành phần không chấp hành luật giao thông cứ phải thế này . cơ mà thằng này gà thật , tạt mẹ vào quán nước mà ngồi uống chứ làm gì phải dắt xe khổ thế kia"
1466,Enjoyment,per giải trí =)))
1053,Enjoyment,< 3 chuyện lạ có thật :)))
272,Enjoyment,cười vô mặt
1246,Other,cuộc sống mà .. ghi không được thì thôi . sao mấy bạn chửi người ta dữ vậy
1689,Enjoyment,per kỉ niệm nhất là những ngày trốn học cùng nhau đi xem phim 😂😂😂
1279,Sadness,đau bụng quá ự ự
253,Enjoyment,lợi ích của việc giữ vững quan điểm 😄
663,Sadness,thế này mà mày vẫn còn buồn thì ...
1123,Disgust,thấy mà nhớ lại quá . lúc còn sinh viên . di làm thêm ở quán kara . đm tụi nó tổ chức sinh nhật . rồi bày ra trang trí để tỏ tình . rồi quà bỏ xốp hột không trong đó . vừa xốp . vừa đèn cầy . vừa kim tuyến . bia . đồ ăn đồ . làm buổi có 40k mà dọn đúng là như thèn này chửi . dọn mún lòa lozzz ra lun . ức chế lắm
559,Other,sáng nay tao mới thấy 2 con này đi cùng
1406,Enjoyment,bạn trai tao đéo biết giận dai nên không phải dỗ
1657,Surprise,tại sao lại phải che mặt vậy
691,Sadness,án mà cứ xử như vậy thì sao có được lòng dân
978,Disgust,thế tao mới quyết tâm tìm ra facebook thật của nó để no hết đường lừa các em mới lớn đó
231,Fear,sợ ngỗng còn hơn sợ chó :)))
1607,Disgust,"vậy thì tao sẽ ước mơ là các nhà thơ đừng bao giờ xài ẩn dụ , chơi chữ :) đã ngu văn còn bắt phân tích thấy mẹ luôn"
79,Enjoyment,nhiê ̀ u biê ́ n đô ̣ người kha ́ thu ́ vi ̣ =))
694,Sadness,"thương tra ̀ o nươ ́ c mă ́ tao ... cuô ́ i cu ̀ người thi ̀ ban la ̃ nh đa ̣ o bă ́ c ninh đa ̃ lên tiê ́ người giu ́ p đơ ̃ ca ́ c be ́, du ̀ qua ́ muô ̣ n @"
266,Other,lấy giẻ lau xong vắt chắc cũng được nửa
635,Enjoyment,ngày xưa mừn cũng hay thế lắm .
621,Other,chắc nó se lạnh thì đừng hỏi tại sao thằng kia lấp nhíp sưởi ấm cũng không thấy .
989,Sadness,phận làm trai nào sung sướng gì 😂
599,Enjoyment,"hôm nay ai có vàng bán hết đi , tuần sau mua lại , lời vãi ."
12,Other,kính thủy lực là kính gì bạn ơi
742,Sadness,chưa bao giờ được nge câu này 😞
1183,Disgust,nam chính người nào cũng bị bệnh tự luyến nữa :)))))))
73,Enjoyment,"cũng chuẩn , giờ khởi nghiệp vậy phá sản chỉ mấy tháng đầu"
187,Disgust,chỗ tao lắm đứa khó chịu vãi
965,Disgust,"tất cả là do chính sách sai lầm của những người đứng đầu tỉnh sơn la . tsb cao su nó phù hợp trồng ở cao nguyên + nhiệt đới nắng lắm chứ lên tây bắc lạnh giá + sương muối thì cây cao su làm sao nó sinh trưởng tốt và hợp khí hậu được mà chả trắng tay :))) còn cả cây cafe đang được trồng ở sơn la , điện biên nữa sớm muộn gì những người dân trồng hai loại cây này cũng nhận trái đắng trắng tay thôi"
1598,Enjoyment,quá giỏi . đạp đến ngất đi mà không quay đầu . sau này em sẽ thành công . chắc chắn vậy
688,Disgust,vừa đi về ?? mưa sấp mặt
1070,Enjoyment,bài viết hay quá !
930,Enjoyment,gì cũng được ?????? dễ vãi
1686,Other,đã năm 2000 . người ta cho mượn 200 tr rồi .. từ đó về sau nhà người ta có cần 25 tr / tháng hay không ???
815,Enjoyment,ôi cháu taooo =))))
1015,Other,nó chỉ muốn chén mày thôi . thật đấy
